weekday
all_key,all_first,all_msgs,all_batches,all_words,all_attachments,all_delay,all_quick_10min,all_subhour,all_3hours+
22,L,01:51pm,19,6,487,0,36,50,66,0
L month
person,L_key,L_first,L_msgs,L_batches,L_words,L_attachments,L_delay,L_quick_10min,L_subhour,L_3hours+
201909,L,11:57am,164,45,2992,54,155,26,48,28
201910,L,03:28pm,168,50,2339,43,123,51,71,19
201911,L,10:26am,287,89,5029,51,77,60,73,10
201912,L,01:01pm,246,77,4725,39,59,63,77,9
202001,L,12:41pm,226,70,4289,38,71,53,70,14
202002,L,01:59pm,49,16,1187,7,16,75,90,0
L day
person,L_key,L_first,L_msgs,L_batches,L_words,L_attachments,L_delay,L_quick_10min,L_subhour,L_3hours+
2019-09-03,L,09:58am,5,2,122,2,252,0,0,100
2019-09-05,L,12:23pm,6,2,188,0,485,50,50,50
2019-09-06,L,09:03am,11,3,139,4,24,50,75,0
2019-09-07,L,09:19am,11,3,88,8,103,33,33,0
2019-09-08,L,09:42am,5,4,88,3,99,33,33,33
2019-09-09,L,10:51am,8,3,204,3,205,0,33,66
2019-09-10,L,11:41am,18,6,394,7,90,50,50,25
2019-09-11,L,11:22am,5,3,110,1,190,33,33,33
2019-09-12,L,11:24am,6,2,63,4,123,0,0,0
2019-09-13,L,,5,1,92,2,,,,
2019-09-14,L,10:48am,9,4,179,2,44,50,50,0
2019-09-15,L,10:38am,6,2,82,2,130,0,0,0
2019-09-16,L,12:21pm,6,2,85,3,521,0,0,100
2019-09-17,L,07:57pm,6,2,148,1,22,0,100,0
2019-09-18,L,11:06am,4,3,87,1,44,0,50,0
2019-09-19,L,01:53pm,5,3,96,0,209,0,66,33
2019-09-20,L,03:25am,11,5,119,3,115,33,66,33
2019-09-22,L,07:14pm,3,2,10,3,736,0,0,100
2019-09-24,L,11:38am,6,3,179,2,17,0,100,0
2019-09-25,L,02:25pm,8,4,211,1,171,0,33,33
2019-09-26,L,,1,1,9,0,,,,
2019-09-28,L,12:32pm,9,4,115,1,225,0,33,33
2019-09-29,L,10:53am,1,1,2,0,340,0,0,100
2019-09-30,L,04:28pm,9,3,182,1,3,100,100,0
2019-10-01,L,10:47pm,2,1,29,0,195,0,0,100
2019-10-02,L,10:01pm,2,1,38,2,,,,
2019-10-03,L,11:21am,1,1,0,1,274,0,0,100
2019-10-04,L,11:23am,11,4,134,1,278,66,66,33
2019-10-06,L,12:36pm,7,2,57,0,482,50,50,50
2019-10-07,L,03:00pm,10,4,154,5,54,33,66,0
2019-10-08,L,02:05pm,7,2,153,0,57,75,75,25
2019-10-09,L,08:05pm,4,3,47,2,38,50,50,0
2019-10-10,L,02:11pm,8,2,116,3,33,50,50,0
2019-10-11,L,09:25pm,2,2,17,0,481,0,50,50
2019-10-12,L,12:47pm,8,6,79,0,63,60,80,20
2019-10-14,L,03:25pm,5,1,36,0,0,100,100,0
2019-10-15,L,02:46pm,10,4,121,5,311,50,50,50
2019-10-17,L,01:44pm,8,2,64,2,166,50,50,50
2019-10-18,L,11:01am,8,4,142,0,15,33,100,0
2019-10-19,L,01:49pm,6,4,86,2,20,0,100,0
2019-10-20,L,08:05pm,1,1,6,0,,,,
2019-10-21,L,09:08pm,6,2,84,4,33,0,100,0
2019-10-22,L,10:40pm,3,1,57,1,123,0,0,0
2019-10-23,L,03:53pm,5,2,96,2,287,33,33,33
2019-10-24,L,12:35pm,9,4,45,3,2,100,100,0
2019-10-25,L,11:54am,14,7,293,3,22,66,66,0
2019-10-26,L,07:43am,6,2,55,1,219,66,66,33
2019-10-27,L,06:39pm,7,4,135,2,17,25,100,0
2019-10-28,L,11:39am,4,3,72,1,27,0,100,0
2019-10-29,L,04:19pm,4,1,101,0,2,100,100,0
2019-10-30,L,02:42pm,4,3,50,0,9,100,100,0
2019-10-31,L,01:28pm,6,2,72,3,162,50,50,50
2019-11-02,L,11:30pm,6,2,100,4,474,0,0,100
2019-11-04,L,07:32am,18,8,374,4,63,40,40,0
2019-11-06,L,09:00am,14,6,148,5,17,60,80,0
2019-11-07,L,10:33am,10,3,220,1,112,50,50,50
2019-11-08,L,10:48am,19,9,433,2,53,87,87,12
2019-11-09,L,10:06am,22,8,320,8,19,60,80,0
2019-11-10,L,05:48pm,7,4,84,1,59,25,50,0
2019-11-11,L,03:19pm,8,3,148,0,153,60,80,20
2019-11-12,L,07:01pm,9,4,254,0,9,75,100,0
2019-11-13,L,04:03am,10,3,415,2,168,50,75,25
2019-11-14,L,11:25am,7,2,124,3,434,0,50,50
2019-11-15,L,09:48am,9,5,195,0,88,60,60,20
2019-11-16,L,01:19pm,20,3,373,5,1,100,100,0
2019-11-17,L,11:05am,10,3,147,5,128,0,0,0
2019-11-18,L,01:46pm,11,3,130,1,116,60,80,20
2019-11-19,L,12:05pm,11,3,185,0,127,50,50,25
2019-11-20,L,08:20am,13,6,240,2,63,20,60,20
2019-11-21,L,04:45am,22,11,276,2,23,63,90,0
2019-11-22,L,06:43am,18,8,206,3,22,80,90,0
2019-11-24,L,05:51am,1,1,1,0,3,100,100,0
2019-11-26,L,10:21am,1,1,7,0,880,0,0,100
2019-11-27,L,04:41am,17,5,252,3,20,85,85,0
2019-11-28,L,07:51am,13,5,208,0,64,50,50,0
2019-11-29,L,07:34am,5,3,108,0,263,33,33,33
2019-11-30,L,05:46am,6,3,81,0,9,100,100,0
2019-12-01,L,02:08pm,3,2,55,0,521,0,50,50
2019-12-02,L,03:58pm,5,4,187,0,9,100,100,0
2019-12-03,L,05:39pm,2,2,33,0,40,50,50,0
2019-12-04,L,11:46am,4,2,51,0,55,66,66,0
2019-12-06,L,11:56am,2,1,25,0,13,0,100,0
2019-12-09,L,03:39pm,10,4,123,5,143,0,50,50
2019-12-10,L,09:18am,20,9,390,4,37,80,80,0
2019-12-11,L,09:18am,16,5,248,10,75,25,25,0
2019-12-12,L,09:34am,17,6,324,3,38,66,83,16
2019-12-13,L,12:23pm,3,3,69,0,3,100,100,0
2019-12-14,L,11:00am,5,2,88,2,31,50,50,0
2019-12-15,L,01:39pm,8,6,140,1,3,80,100,0
2019-12-16,L,04:55pm,7,4,176,1,227,0,33,33
2019-12-17,L,12:00pm,7,1,133,1,186,50,50,50
2019-12-18,L,03:52pm,10,4,164,2,49,50,75,0
2019-12-19,L,11:24am,7,4,130,0,78,33,66,33
2019-12-20,L,12:27pm,4,4,95,0,2,100,100,0
2019-12-21,L,02:49pm,3,2,46,0,18,50,100,0
2019-12-22,L,04:03am,32,12,474,4,48,88,88,11
2019-12-23,L,03:47pm,13,4,124,0,4,83,100,0
2019-12-24,L,04:28pm,1,1,3,0,0,100,100,0
2019-12-27,L,11:12pm,4,1,34,0,1,100,100,0
2019-12-28,L,05:29am,23,8,725,2,93,14,42,14
2019-12-29,L,08:04am,23,4,596,2,60,66,88,11
2019-12-30,L,01:21pm,7,3,151,1,45,0,50,0
2019-12-31,L,04:40pm,10,3,141,1,0,100,100,0
2020-01-01,L,10:29am,8,4,145,1,29,50,75,0
2020-01-02,L,12:41pm,10,4,161,0,89,60,60,20
2020-01-03,L,04:11pm,5,3,66,0,41,66,66,0
2020-01-04,L,10:37am,8,2,124,1,349,0,0,100
2020-01-05,L,12:13pm,9,2,107,5,38,75,75,0
2020-01-06,L,06:54pm,1,1,27,0,395,0,0,100
2020-01-07,L,12:54pm,2,1,45,0,216,0,0,100
2020-01-08,L,09:16am,12,5,275,2,12,75,100,0
2020-01-09,L,10:10am,8,5,321,1,26,50,75,0
2020-01-10,L,01:57pm,4,3,88,0,56,33,66,0
2020-01-11,L,01:10pm,6,4,95,1,52,0,66,0
2020-01-12,L,10:33am,3,3,39,0,179,33,33,66
2020-01-13,L,03:15pm,8,2,244,0,22,75,75,0
2020-01-14,L,10:29am,1,1,25,0,858,0,0,100
2020-01-15,L,07:01pm,11,4,274,2,37,50,50,0
2020-01-16,L,02:31pm,7,4,95,0,17,33,100,0
2020-01-17,L,07:28pm,1,1,26,0,44,0,100,0
2020-01-18,L,07:44am,9,6,73,2,86,33,66,16
2020-01-19,L,01:42pm,2,1,0,2,,,,
2020-01-20,L,01:32pm,1,1,0,1,,,,
2020-01-21,L,03:06am,7,3,128,0,258,50,50,50
2020-01-22,L,07:31pm,2,1,11,0,0,100,100,0
2020-01-23,L,01:05pm,10,7,183,0,6,75,100,0
2020-01-24,L,01:41pm,7,3,142,2,14,0,100,0
2020-01-26,L,10:23am,29,4,339,3,26,83,91,8
2020-01-27,L,11:40am,12,7,409,2,126,25,25,25
2020-01-28,L,10:30am,10,5,257,4,45,60,80,20
2020-01-29,L,11:16am,3,1,74,0,213,0,0,100
2020-01-30,L,12:20pm,18,6,327,6,29,80,80,0
2020-01-31,L,10:36am,12,4,189,3,39,50,75,0
2020-02-02,L,11:21am,20,6,451,5,6,90,100,0
2020-02-03,L,04:56pm,10,6,249,2,8,75,100,0
2020-02-04,L,02:34pm,10,3,287,0,20,50,75,0
2020-02-05,L,01:08pm,9,4,200,0,67,50,50,0
###
S weekday
person,S_key,S_first,S_msgs,S_batches,S_words,S_attachments,S_delay,S_quick_10min,S_subhour,S_3hours+
1,S,11:43am,146,34,3185,51,251,34,52,38
2,S,10:02am,129,54,3040,49,206,23,49,36
3,S,09:23am,124,50,3227,31,161,27,53,30
4,S,12:08pm,126,47,2982,44,187,36,61,29
5,S,10:03am,137,46,2414,56,167,33,63,26
6,S,10:20am,162,54,3335,52,141,47,59,26
0,S,12:12pm,122,40,2958,44,175,30,52,30
S week
person,S_key,S_first,S_msgs,S_batches,S_words,S_attachments,S_delay,S_quick_10min,S_subhour,S_3hours+
0,S,10:23am,35,13,1042,21,366,12,25,68
1,S,08:51am,43,14,753,25,303,11,29,58
2,S,01:04pm,26,9,287,9,247,14,42,42
3,S,07:19am,35,12,908,15,242,7,28,64
4,S,01:37pm,17,9,420,3,177,30,61,15
5,S,10:39am,43,13,1154,9,219,40,65,35
6,S,02:05pm,28,9,804,9,312,30,38,53
7,S,11:22am,42,16,738,20,164,35,55,35
8,S,12:03pm,32,14,513,17,321,21,28,50
9,S,09:42am,65,24,1133,20,154,37,57,22
10,S,10:22am,52,14,1290,15,131,44,55,31
11,S,07:20am,48,22,811,13,134,43,75,25
12,S,12:30pm,42,14,1253,20,261,27,50,38
13,S,01:54pm,28,11,547,15,380,30,40,60
14,S,08:53am,58,23,1549,17,129,28,57,25
15,S,11:09am,60,23,982,22,128,42,68,18
16,S,10:58am,53,15,904,19,144,40,63,18
17,S,12:51pm,60,18,1248,22,105,42,69,11
18,S,10:49am,38,20,1208,7,184,21,43,34
19,S,02:35pm,24,13,497,3,118,46,84,7
20,S,08:38am,50,17,1356,13,100,57,69,11
21,S,09:07am,57,19,1549,9,145,35,64,29
22,S,08:45am,10,4,195,4,231,16,50,33
S month
person,S_key,S_first,S_msgs,S_batches,S_words,S_attachments,S_delay,S_quick_10min,S_subhour,S_3hours+
201909,S,09:47am,139,46,2990,70,293,11,31,59
201910,S,12:20pm,140,49,3282,47,228,34,54,37
201911,S,09:52am,220,77,4520,72,159,38,59,27
201912,S,11:41am,227,72,4617,86,156,38,60,23
202001,S,10:59am,179,74,4874,42,139,36,63,20
202002,S,09:02am,41,11,858,10,161,38,61,28
S day
person,S_key,S_first,S_msgs,S_batches,S_words,S_attachments,S_delay,S_quick_10min,S_subhour,S_3hours+
2019-09-03,S,10:15am,3,2,266,0,13,0,100,0
2019-09-04,S,08:18pm,1,1,54,1,1228,0,0,100
2019-09-05,S,02:17pm,1,1,204,0,113,0,0,0
2019-09-06,S,07:53am,8,3,142,4,353,50,50,50
2019-09-07,S,06:51am,12,3,89,12,380,0,33,66
2019-09-08,S,08:11am,5,4,55,3,418,0,0,100
2019-09-09,S,05:01am,5,4,232,1,231,0,0,100
2019-09-10,S,08:38am,11,5,258,5,206,0,50,50
2019-09-11,S,03:16am,5,4,88,1,171,25,25,50
2019-09-12,S,09:20am,9,2,63,8,508,0,0,100
2019-09-13,S,09:34pm,3,1,33,3,1254,0,0,100
2019-09-14,S,10:47am,7,2,81,5,325,33,33,66
2019-09-15,S,04:47am,7,4,214,3,175,0,0,50
2019-09-16,S,03:40am,1,1,16,0,58,0,100,0
2019-09-17,S,07:35pm,5,1,27,4,1025,0,0,100
2019-09-18,S,11:39am,2,2,10,1,306,0,50,50
2019-09-19,S,04:20am,5,4,48,2,175,0,25,50
2019-09-20,S,02:56pm,8,4,131,1,144,40,80,20
2019-09-22,S,06:58am,1,1,11,0,296,0,0,100
2019-09-23,S,09:00pm,5,1,60,1,105,0,0,0
2019-09-24,S,04:39am,10,3,195,9,331,0,0,100
2019-09-25,S,07:55am,3,3,114,0,184,33,33,66
2019-09-26,S,05:39am,1,1,11,0,220,0,0,100
2019-09-27,S,08:16pm,1,1,52,0,,,,
2019-09-28,S,04:25am,5,3,159,0,131,0,33,33
2019-09-29,S,05:11am,6,2,148,3,642,0,0,100
2019-09-30,S,03:14am,9,4,229,3,95,0,66,33
2019-10-01,S,07:32pm,1,1,83,0,1341,0,0,100
2019-10-03,S,06:47am,2,2,39,0,307,0,0,50
2019-10-04,S,11:42am,7,5,177,0,27,50,83,0
2019-10-06,S,12:39pm,1,1,6,0,3,100,100,0
2019-10-07,S,05:28pm,6,3,115,3,62,0,66,0
2019-10-08,S,10:15am,9,2,330,3,233,60,60,40
2019-10-09,S,06:43pm,3,2,372,1,15,0,100,0
2019-10-10,S,03:41am,11,4,206,2,160,0,50,50
2019-10-11,S,03:40am,4,3,50,1,200,50,50,50
2019-10-12,S,12:12pm,5,5,50,1,196,20,80,20
2019-10-14,S,03:23pm,11,2,146,1,301,60,60,40
2019-10-15,S,04:24am,5,2,104,1,209,0,0,50
2019-10-16,S,09:09pm,2,1,22,0,57,0,100,0
2019-10-17,S,08:10am,3,2,122,0,241,50,50,50
2019-10-18,S,11:00am,6,3,108,3,306,33,33,66
2019-10-19,S,01:10pm,8,3,365,3,338,33,33,66
2019-10-20,S,08:07pm,3,2,61,1,2,100,100,0
2019-10-21,S,08:35pm,1,1,22,1,1163,0,0,100
2019-10-22,S,01:46pm,3,2,38,2,992,0,0,100
2019-10-23,S,04:14am,5,3,42,3,213,33,33,66
2019-10-24,S,01:30pm,5,3,175,1,87,50,75,25
2019-10-25,S,12:15pm,7,3,177,3,126,0,66,33
2019-10-26,S,07:42am,10,3,73,7,135,50,75,25
2019-10-27,S,05:41am,9,6,166,3,68,50,50,25
2019-10-28,S,10:30pm,3,1,67,1,114,0,0,0
2019-10-29,S,04:17pm,3,3,117,1,444,33,33,66
2019-10-30,S,02:33pm,2,2,24,1,406,50,50,50
2019-10-31,S,04:32am,5,3,25,4,226,0,0,100
2019-11-01,S,08:02pm,4,1,24,3,160,0,0,0
2019-11-02,S,05:26am,4,2,56,1,257,0,0,100
2019-11-03,S,07:38pm,4,1,41,1,1202,0,0,100
2019-11-04,S,03:53am,10,6,226,6,102,20,40,20
2019-11-05,S,09:00pm,3,1,18,1,1322,0,0,100
2019-11-06,S,08:56am,10,5,45,5,98,25,50,25
2019-11-07,S,04:48am,12,4,235,3,104,33,33,33
2019-11-08,S,03:51am,12,4,443,2,76,50,62,12
2019-11-09,S,08:44am,15,9,247,4,94,40,80,10
2019-11-10,S,05:16pm,7,4,63,3,315,25,50,25
2019-11-11,S,03:23am,6,3,82,2,112,40,40,40
2019-11-12,S,07:52pm,7,1,119,0,8,50,100,0
2019-11-13,S,03:48am,12,5,316,7,150,20,40,20
